domain,site,plot,measurementLevel,sensorDepths,startDate,endDate
6,KONA,3,3,-0.265,20100101125959,NA
6,KONA,3,4,-0.465,20100101125959,NA
6,KONA,3,5,-0.765,20100101125959,NA
6,KONA,3,6,-1.065,20100101125959,NA
6,KONA,3,7,-1.365,20100101125959,NA
6,KONA,3,8,-1.965,20100101125959,NA
6,KONA,4,1,-0.05,20100101125959,NA
6,KONA,4,2,-0.15,20100101125959,NA
6,KONA,4,3,-0.25,20100101125959,NA
6,KONA,4,4,-0.45,20100101125959,NA
6,KONA,4,5,-0.75,20100101125959,NA
6,KONA,4,6,-1.05,20100101125959,NA
6,KONA,4,7,-1.35,20100101125959,NA
6,KONA,4,8,-1.95,20100101125959,NA
6,KONA,5,1,-0.055,20100101125959,NA
6,KONA,5,2,-0.155,20100101125959,NA
6,KONA,5,3,-0.255,20100101125959,NA
6,KONA,5,4,-0.455,20100101125959,NA
6,KONA,5,5,-0.755,20100101125959,NA
6,KONA,5,6,-1.055,20100101125959,NA
6,KONA,5,7,-1.355,20100101125959,NA
6,KONA,5,8,-1.955,20100101125959,NA
6,KONZ,1,1,-0.07,20100101125959,NA
6,KONZ,1,2,-0.17,20100101125959,NA
6,KONZ,1,3,-0.27,20100101125959,NA
6,KONZ,1,4,-0.47,20100101125959,NA
